,Song,Artist,Genre,Lyrics
691,do you wanna (make love to me),tower of power,Jazz,"whoa whoa, baby

most of the time you can't make up your mind
and that doesn't really bother me
but when it comes to us, indecisions a bust
i just gotta know how it will be, yeah, yeah, yeah

girl, it's not a lot that i'm asking from you
i just wanna know

do you wanna make love to me?
(do you wanna?)
or do you want me to set you free?
(do you wanna make love?)
now's the time let's take a swim, shut the door, but let me in
do you wanna make love to me? oh yeah
(do you wanna?)

bet you didn't know that you're movin' too slow
for me to know to even be amused
you've got perfect etiquette, so politically correct
but i suspect that just some what could use

girl, it's not a lot that i'm asking from you
i just wanna know

do you wanna make love to me?
(do you wanna?)
do you wanna make ecstasy?
(do you wanna make love?)
now's the time let's just take a chance, cultivate some true romance
do you wanna make love to me? oh yeah yeah
(do you wanna?)

girl, it's not a lot that i'm askin' from you
so make up your mind, baby
we've come much too far, there's no turnin' back
i need you tell me

do you wanna make love to me?
(do you wanna?)
or do you want me to set you free?
(do you wanna make love?)
do you wanna make love to me?
do you wanna make ecstasy?

do you wanna make love to me?
(do you wanna?)
do you want me to set you free?
(do you wanna make love?)
now's the time let's just take a chance, cultivate some true romance, yeah

do you wanna make love to me?
(do you wanna?)
(do you wanna? oh baby)
do you wanna make love to me?

do you wanna make love to me?
(do you wanna?)
([incomprehensible] do you wanna make love?)
do you wanna make love to me?
(you and me baby, yeah)

do you wanna make love to me?
(do you wanna?)
do you wanna make love to me?
(come on baby we've been doing this dance a long time)

do you wanna make love to me?
(do you wanna?)
(do you wanna make love to me or what?)
do you wanna?
(we've been together so long, i'm starting to wonder)
do you wanna make love to me?
(i'm not goin to beg you, it's now or never)

"
692,i married an angel,ruth berman,Jazz,"there's been a change in me!
i have a lovely disposition
that's very strange in me
and life's as sweet as it can be
i've lots of courage and ambition
from every care my mind is free
so i repeat, with your permission
there's been a change in me!
 
have you heard i married an angel
i'm sure that the change'll be awf'lly good for me
have you heard an angel i married
to heaven she's carried this fellow with a kiss
she is sweet and gentle, so it isn't strange
when i'm sentimental, she loves me like an angel
now you've heard, i married an angel
this beautiful change'll be awf'lly good for me
 
have you heard i married an angel
i'm sure that the change'll be awf'lly good for me
have you heard an angel i married
to heaven she's carried this fellow with a kiss
she is sweet and gentle, so it isn't strange
when i'm sentimental, she loves me like an angel
now you've heard, i married an angel
"
693,maybe,ella fitzgerald,Jazz,"maybe you'll think of me
when you are all alone
maybe the one who is waiting for you will prove untrue
then what will you do
maybe you'll sit and sigh
wishing that i were near, then
maybe you'll ask me to come back again
and maybe i'll say maybe

may be you'll think of me
when you are all alone
maybe the one who is waiting for you will prove untrue
then what will you do
maybe you'll sit and sigh
wishing that i were near, then
maybe you'll ask me to come back again
and maybe i'll say maybe"
694,embraceable-you,billie-holiday,Jazz,"embrace me
my sweet embraceable you
embrace me
my irreplaceable you
just to look at you
my heart grows tipsy in me
you and you alone
bring out the gypsy in me
i love all
the many charms about you
above all
i want my arms about you
don't be naughty baby
come to me
come to me do
my sweet embraceable you
i love all
the many charms about you
above all
i want my arms about you
don't be naughty baby
come to mama
come to mama do
my sweet embraceable you"
695,speak low,claudio roditi,Jazz,"speak low when you speak, love,
our summer day withers away
too soon, too soon.

speak low when you speak, love,
our moment is swift, like ships adrift,
we're swept apart too soon.

speak low, darling speak low,
love is a spark lost in the dark,
too soon, too soon,
i feel wherever i go
that tomorrow is near, tomorrow is here
and always too soon.

time is so old and love so brief,
love is pure gold and time a thief.
we're late darling, we're late,
the curtain descends, ev'rything ends
too soon, too soon,
i wait darling, i wait
will you speak low to me,
speak love to me and soon."
696,on green dolphin street,dave pike,Jazz,"it seems like a dream, yet i know it happened
a man, a maid, a kiss, and then goodbye
romance was the theme
and we were the players
i never think of this without a sigh
 
lover, one lovely day
love came, planning to stay
green dolphin street supplied the setting
the setting for nights beyond forgetting
and through these moments apart memories live in my heart
when i recall the love i found on
i could kiss the ground on green dolphin street
 
lover, one lovely day
love came, planning to stay
green dolphin street supplied the setting
the setting for nights beyond forgetting
and through these moments apart memories live in my heart
when i recall the love i found on
on green dolphin street
"
697,hideaway,stanley clarke,Jazz,"one day the boy decided
to let them know the way he felt inside
he could not stand to hide it
his mother, she broke down and cried

oh, my father
why don't you talk to me now?
oh, my mother
do you still cry yourself to sleep?

are you still proud of your little boy?
don't be afraid
(be afraid)
you don't have to hideaway

the boy, he was rejected
by the people that he cared for
it's not what they expected
but he could not keep it secret anymore

far from home now
waiting by the telephone
there's a new world
you can make it on your own

are you still proud of your little boy?
don't be afraid
(be afraid)
you don't have to hide away, no

don't be afraid
love will mend your broken wing
time will slip away
learn to be brave

don't be afraid
love will mend your broken wing
time will slip away
learn to be brave

oh, my father
why don't you talk to me now?
oh, my mother
do you still cry yourself to sleep?

are you still proud of your little boy?
don't be afraid
(be afraid)
you don't have to hide away, no

don't be afraid
love will mend your broken wing
time will slip away
learn to be brave

"
698,be a clown,judy garland,Jazz,"i'll remember forever
when i was but three
mama, who was clever
remarking to me
if son when you're grown up
you want everything nice
i've got your future sewn up
if you take this advice

be a clown, be a clown
all the world loves a clown
act the fool, play the calf
and you'll always have the last laugh

wear the cap and the bells
and you'll rate with all the great swells
if you become a doctor, folks'll face you with dread
if you become a dentist, they'll be glad when you're dead
you'll get a bigger hand if you can stand on your head
be a clown, be a clown, be a clown

be a clown, be a clown
all the world loves a clown
show 'em tricks, tell 'em jokes
and you'll only stop with top folks

be a crack jackanapes
and they'll imitate you like apes
why be a great composer with your rent in arrears
why be a major poet and you'll owe it for years
when crowds'll pay to giggle if you wiggle your ears
be a clown, be a clown, be a clown

be a clown, be a clown
all the world loves a clown
if you just make 'em roar
watch your mounte bank account soar

wear a painted mustache
and you're sure to make a big splash
a college education i should never propose
a bachelor's degree won't even keep you in clothes
but millions you will win if you can spin on your nose
be a clown, be a clown, be a clown

give 'em quips, give 'em fun
and they'll happy to say you're a-1
if you become a farmer you've the weather to buck
if you become a gambler you'll be stuck with your luck
but jack you'll never lack if you can quack like a duck
be a clown, be a clown, be a clown"
699,easy to love,al hirt,Jazz,"i know too well that i'm just wasting precious time
in thinking such a thing could be
that you could ever care for me
i'm sure you hate to hear
that i adore you, dear
but grant me

just the same
i'm not entirely to blame
for love
you'd be so easy to love
so easy to idolize
all others above
so worth the yearning for
so swell to keep every home fire burning for

we'd be so grand at the game
so carefree together
that it does seem a shame
that you can't see
your future with me
cause you'd be oh, so easy to love"
700,you don't know what love is,george shearing,Jazz,"you don't know what love is
'til you've learned the meaning of the blues
until you've loved a love you've had  to lose,
you don't know what love  is.

you don't know how lips hurt
until you've kissed and had to pay the cost,
until you've flipped your heart and you have lost,
you don't know what love is.

do you know how a lost heart fears
at the thought of reminiscing,
and how lips that taste of tears
lose their taste for kissing?
you don't know how hearts burn
for love that can, not live yet never dies.
until you've faced each dawn with sleepless eyes,
you don't know what love is."
701,the lady is a tramp,tony bennett,Jazz,"she gets too hungry, for dinner at eight
she loves the theater, but she never comes late
she never bother, with people she hate
that's why this chick is a tramp

she doesn't like crap games, with barons and earls
won't go to harlem, in ermines and pearls
won't dish out dirt, with the rest of the girls
that's why the lady is a tramp

she likes the free, fresh wind in her hair
life without care, she's broke, it's old
she hate california, it's crowded and damp
that's why the lady is a tramp

she likes the free, fresh wind in her hair
life without care, she's broke, it's old
she hate california, it's crowded and damp
that's why the lady is a tramp
that's why the lady is a tramp"
702,sophia,dean martin,Jazz,"listen to me, sophia, have you any idea how much you mean to me-a? how much you'll never know! if i'm all agitato, every heart string vibrato, every look passionato, who but you made me so? it's love, it's love crescendo, never ever diminuendo. say the word, sweet sophia, or from earth i resign. oh, sophia, be mine! listen to me, sophia, have you any idea how much you mean to me-a? every day more and more! all the others were so-so, not a one amoroso, but with you i'm aglow, so, only you i adore. you're sweeter than spumone, sweeter even than zabaglione. say the word, sweet sophia, or from earth i resign oh, sophia, be mine! oh, sophia, be mine!"
703,fascinating rhythm,oscar peterson,Jazz,"got a little rhythm, a rhythm, a rhythm 
that pit-a-pats through my brain; 
so darn persistent, 
the day isn't distant 

when it'll drive me insane. 
comes in the morning 
without any warning, 
and hangs around me all day. 

i'll have to sneak up to it 
someday, and speak up to it. 
i hope it listens when i say: 

fascinating rhythm, 
you've got me on the go! 
fascinating rhythm, 
i'm all a-quiver. 

when a mess you're making! 
the neighbours want to know 
why i'm always shaking 
just like a flivver. 

each morning i get up with the sun 
start a-hopping, 
never stopping 
to find at night no work has been done. 

i know that 
once it didn't matter 
but now you're doing wrong; 
when you start to patter 

i'm so unhappy. 
won't you take a day off? 
decide to run along 
somewhere far away off  

and make it snappy! 
oh, how i long to be the man i used to be! 
fascinating rhythm, 
oh won't you stop picking on me?"
704,brazilian love affair,george duke,Jazz,"in the morning 
on the beach there 
people gather 
to meet the sunshine 

with open arms 
reaching for heaven 
with open hearts 
and open minds 

i found a lover 
by the seaside 
with sexy brown skin 
and haunting eyes 

time keeps passing 
but no one cares 
life for living 
is the thing there 
be yourself, be free 

2nd verse: 
in bahia 
and in rio 
in san paulo 
in brasilia 

sandy beaches 
cooling breezes 
sexy women 
calling to you 
for you aaaaahh... (continue aaahhs until break)
"
705,just friends [#],ralph sutton,Jazz,"just friends, lovers no more
just friends, but not like before
to think of what we've been and not to kiss again
seems like pretending it isn't the ending
two friends drifting apart
two friends, but one broken heart
we loved, we laughed, we cried, and suddenly love died"
706,what-s-new,chet-baker,Jazz,"what's new?
how is the world treating you?
you haven't changed a bit
handsome as ever i must admit
what's new?
how did that romance come through?
we haven't met since then
gee, but it's nice to see you again
what's new?
probably i'm boring you
but seeing you is grand
and you were sweet to offer your hand
i understand
adieu
pardon my asking what's new
of course you couldn't know
i haven't changed
i still love you so"
707,the shadow of your smile,irene kral,Jazz,"the shadow of your smile
when you have gone
will color all my dreams
and light the dawn

look into my eyes my love and see
all the lovely things you are to me

our wistful little star
it was far, too high
a teardrop kissed your lips
and so did i

now when i remember spring
all the joys that love can bring
i will be remembering
the shadow of your smile"
708,all i ever ask,najee,Jazz,"love means so many different things
but you're all that matters
and this is all i'll ever ask of you

tell me your dreams so they can be mine too
let me be there to help them come true
tell me your fears when you feel afraid
come to my arms, let me rock them away

that's all i'll ever ask
that's all i'll ever ask
that's all i'll ever ask
that's all i'll ever ask of you

come to my shoulder when you need to weep
wake me up when you can not sleep
talk to me when you want to be heard
be silent with me when you can't say a word

that's all i'll ever ask
that's all i'll ever ask
that's all i'll ever ask
that's all i'll ever ask of you

i can't swear
you'll never have to cry another tear
but whenever you want someone to hold you
i'm always right here

so just take my hand when you stumble and fall
call my name, it's yours to call
feel my faith in you when you can't find your own
and always remember you're never alone

that's all i'll ever ask
that's all i'll ever ask
that's all i'll ever ask 
that's all i'll ever ask of you"
709,interlude,june christy,Jazz,"a corner of the world
a moment out of time
two people chance to meet
how bitter sweet
how sublime
and clinging there a while 
to gaze across the years
and hope the sun that sets
brings no regrets
and no tears
and the farewell bow
the lingered kiss goodbye
and who explains the how
and why
these are memories for our time
two think an escapade
a fly by night affair
became an interlude
that i've perused
everywhere"
710,when my sugar walks down the street,red nichols,Jazz,"when my sugar walks down the street
all the little birdies go tweet, tweet, tweet.
and in the evening when the sun goes down
it's never dark when she's around

she's so affectionate and i'll say this
that when she kisses me i sure stay kissed
when my sugar walks down the street
the little birdies go tweet tweet tweet.
"
711,when a woman loves a man,tony bennett,Jazz,"maybe he's not much
just another man doing what he can
what does she care
when a woman loves a man

she'll just string along
all through thick and thin till his ship comes in
it's always that way
when a woman loves a man

she'll be the first one to praise him when he's going strong
the last one to blame him when everything is wrong
it's such a one sided game that they play
but women are funny that way

tell her she's a fool
she'll say, ""yes i know but i love him so""
and that's how it goes
when a woman loves a man

tell her she's a fool
she'll say, ""yes i know but i love him so""
and that's how it goes
when a woman loves a man"
712,things ain t what they used to be,duke ellington,Jazz,"this is the g. i. jive man alive it starts with the bugler blowin' reveille over your bed when you arrive jack, that's the g. i. jive roodley-toot jump in your suit make a salute boot after you wash and dress more or less you go get your breakfast in a beautiful little caf?they call ""the mess"" jack, when you convalesce outta your seat into the street make with the feet reet if you're a p-v-t, your duty is to salute to l-i-e-you-t but if you brush the l-i-e-you-t the m-p makes you k-p on the q-t this is the g. i. jive man alive they give you a private tank that features a little device called ""fluid drive"" jack, after you revive chuck all your junk back in the trunk fall on your bunk clunk this is the g. i. jive man alive they give you a private tank that features a little device called ""fluid drive"" jack, if you still survive chuck all your junk back in the trunk fall on your bunk clunk"
713,"what is a man?/bewitched, bothered and bewildered",margaret whiting,Jazz,"coming out of my cage
and i've been doing just fine
gotta gotta be down
because i want it all
it started out with a kiss
how did it end up like this?
it was only a kiss, it was only a kiss
now i'm falling asleep
and she's calling a cab
while he's having a smoke
and she's taking a drag
now they're going to bed
and my stomach is sick
and it's all in my head
but she's touching his chest now
he takes off her dress now
let me go

and i just can't look, it's killing me
and taking control
jealousy, turning saints into the sea
swimming through sick lullabies
choking on your alibis
but it's just the price i pay
destiny is calling me
open up my eager eyes
'cause i'm mr. brightside

i'm coming out of my cage
and i've been doing just fine
gotta gotta be down
because i want it all
it started out with a kiss
how did it end up like this?
it was only a kiss, it was only a kiss
now i'm falling asleep
and she's calling a cab
while he's having a smoke
and she's taking a drag
now they're going to bed
and my stomach is sick
and it's all in my head
but she's touching his chest now
he takes off her dress now
let me go

'cause i just can't look, it's killing me
and taking control
jealousy, turning saints into the sea
swimming through sick lullabies
choking on your alibi
but it's just the price i pay
destiny is calling me
open up my eager eyes
'cause i'm mr. brightside
i never
i never
i never
i never"
714,when the midnight choo choo leaves for alabam',michael feinstein,Jazz,"i've had a mighty busy day
i've had to pack my things away
now i'm going to give the landlord back his key
the very key
that opened up my dreary flat
where many weary nights i sat
thinking of the folks down home who think of me
you can bet you'll find me singing happily

[chorus:]
when the midnight choo-choo leaves for alabam'
i'll be right there
i've got my fare
when i see that rusty-haired conductor-man
i'll grab him by the collar 
and i'll holler
""alabam'! alabam'!""
that's where you stop your train
that brings me back again
down home where i'll remain
where my honey-lamb am
i will be right there with bells
when that old conductor yells
""all aboard! all aboard!
all aboard for alabam'""

[2nd verse:]
the minute that i reach the place
i'm goin' to overfeed my face
'cause i haven't had a good meal since the day 
i went away
i'm goin' to kiss my pa and ma
a dozen times for ev'ry star
shining over alabama's new mown hay
i'll be glad enough to throw myself away "
715,here's to life,joe williams,Jazz,"no complaints and no regrets
i still believe in chasing dreams and placing bets
for i have learned that all you give is all you get
so give it all you've got
i had my share, i drank my fill
and even though i'm satisfied
i'm hungry still
to see what's down another road beyond the hill
and do it all again

so here's to life
and all the joy it brings
yes, here's to life
and dreamers and their dreams

funny, funny how the time just flies
how love can go from warm and those to sad goodbyes
and leave you with the memories you memorize
to keep your winters warm
how love can turn from warm hellos to sad goodbyes
and leave you with the memories you've memorized
to keep your winters warm

there's no yes in yesterday
and who knows what tomorrow brings or takes away?
as long as i'm still in the game, i want to play
for laughs, for life, for love
so here's to life and all the joy it brings
yes, here's to life
and dreamers and their dreams
may all your storms be weathered
and all that's good gets better

here's to life, here's to love, here's to you
may all your storms be weathered
and all that's good gets better
here's to life, here's to love, here's to you

may all your storms be weathered
and all that's good gets better
here's to life, here's to love, here's to you"
716,prisioner of love,ben bernie,Jazz,"someone that i belong to
doesn't belong to me
someone who can't be faithful
knows that i have to be
wonder if i am wrong to give her my loyalty

why should i be a lone soul
why can't i be my own soul
alone from night to night you'll find me
too weak to break the chains that bind me
i need no shackles to remind me
i'm just a prisner of love
for one comand i stand and wait now

from one who's master of my fate now
i can't escape for it's too late now
i'm just a prisoner of love
what's the good of my caring if someone is sharing
those arms with me
although she has another
i can't have another
for i'm not free
she's in my dreams awake or sleeping
up on my knees to her i'm creeping
my very life is in her keeping
i'm just a prisoner of love. 
love."
717,for all we know,ann hampton callaway,Jazz,"for all we know we may never meet again
before you go make this moment sweet again
we won't say ""good night"" until the last minute
i'll hold out my hand and my heart will be in it

for all we know this may only be a dream
we come and go like a ripple on a stream
so love me tonight; tomorrow was made for some
tomorrow may never come for all we know

so love me tonight; tomorrow was made for some
tomorrow may never come for all we know"
718,christmas present,doris day,Jazz,"boxes stacked up to the ceiling all wrapped up in christmas feeling golden bells caress the mistletoe the colors glow, red, silver, green and blue and this i know, this rainbow came from you trimmed with dew though my heart is overflowing loving all the love you're showing what i'd value most would be your call to tell me when you'll be home in my arms again the loveliest christmas present of them all what i'd value most would be your call to tell me when you'll be home in my arms again the loveliest christmas present of them all"
719,can you stop the rain,"grover washington, jr.",Jazz,"here's another morning without you
here's another day; will i get through it
without breaking down?
haven't seen the sun since you've been gone
like my heart, i lost it when you left me
and it can't be found

how can i go on?
baby, i'd be living on memories
of you and me
all the love we made
all those tender nights
and those endless days
they're all here inside

[chorus:]
baby, can you stop the rain from falling?
won't you chase my clouds away?
i'd give anything to see the sun again
only you can stop these tears from falling
i can't face another day
baby, can you stop
can you stop the rain?

ev'rywhere i go, i feel you there
following my footsteps like a shadow
of my broken heart
sometimes, it's a pair of passing eyes
or it's just the way someone is talking
and there you are

am i all alone?
don't you ever wake up
and reach for me
where i used to be?
is there any chance?
i just can't believe
you're not lonely, too
just for me and you

[chorus:]

if you were here for only one night
baby, i know you'd remember
'cause loving you once wasn't time enough
i know we can make it together
together

baby, stop the rain
won't you chase my clouds away?
i'd give anything to see the sun again
only you can stop these tears of mine from falling
i can't face another day
baby, can you stop
can you, can you stop the rain?

how can i live without you, baby?
how could i let you go?"
720,goodhands tonight,al jarreau,Jazz,"o my goodness! ugh, ugh, ugh! try me! 
upset me this time of the mornin'! ]

hmmm! i guess you got my letter
hmmm! well every word i said was true
but just in case your postman breaks a leg
i thought i'd get another message off to you

hmmm! i settled down in paris
hmmm! i get to love them weekends too
i'd like to pitch a tent by your back fence
and yell and scream all night this message overdue:

""i'd just like to hold you, enfold you and make it right
but it's nice to know you are in good hands tonight""

oops! hmm! i never had good timing
hmmm! i'm late again, that's why you're through
but please ignore the time, enjoy the ride, girl
and let the meaning and the message sing to you:

""i'd just like to hold you, enfold you and make it right
but it's nice to know you are in good hands tonight, yes""

do i seem alright? s'pose i'll be alright
'specially when the sky is so blue
but if she's sad of eyes with deep blue sighs
let me sing this song again just like it's new

oooh! well baby, here's my final letter
hmmm! but perhaps that's really not quite true
woa! 'cause if your friend was right and you really called last night
to ask the question could my message mean 'i do'

""i'd just like to hold you, enfold you and make it right
but it's nice to know you are in good hands tonight"""
721,it had to be you,steve tyrell,Jazz,"it had to be you, it had to be you.
i wandered around and finally found the somebody who
could make me be true, could make me feel blue,
and even be glad just to be sad thinkin' of you.

some others i've seen might never be mean
might never be cross or try to be boss,
but they wouldn't do.
for nobody else gave me a thrill.
with all your faults, i love you still,
it had to be you, wonderful you,
it had to be you.

it had to be you, it had to be you.
i wandered around and finally found somebody who
could make me be true, could make me be blue,
and even be glad just to be sad thinkin' of you.

some others i've seen might never be mean
might never be cross or try to be boss,
but they wouldn't do.

for nobody else gave me a thrill.
with all your faults, i love you still.

it had to be you, wonderful you

it had to be you."
722,light as a feather,norah jones,Jazz,"while love seasons will undo your soul
time forgives us and it takes control
we separate our things to put us back together

we're light as a feather
heavy as the weather
if it was rainstorms

put our hands together to plough obey
it's like a show was over 
but we're too scared to walk away
all for the better
worst for the way

we're light as a feather
got you and i together

meanwhile inside of me it was rainin' storms, hm,
you didn't know, hm
god bless your soul

we're light as a feather
heavy as the weather
we're light as a feather
got you and i together"
723,so many stars,susannah mccorkle,Jazz,"the dark is filled with dreams
so many dreams, which one is mine?
one must be right for me

which dream of all the dreams
when there's a dream for every star
and there are oh so many stars, so many stars

the wind is filled with songs
so many songs, which one is mine?
one must be right for me

which song of all the songs
when there's a song for every star
and there are oh so many stars, so many stars

along the countless days, the endless nights
that i have searched so many eyes
so many hearts, so many smiles

which one to choose, which way to go?
how can i tell, how will i know out of
oh, so many stars, so many stars?

along the countless days, the endless nights
that i have searched so many eyes
so many hearts, so many smiles

which one to choose, which way to go?
how can i tell, how will i know out of
oh, so many stars, so many stars?
so many stars, so many stars, so many stars"
724,there's a small hotel,jack hylton,Jazz,"i'd like to get away, junior
somewhere alone with you
it could be oh, so gay, junior
you need a laugh
or two

a certain place i know, frankie
where funny people can have fun
that's where the two will go,
darling

before you can count up
one, two, three. 
for there's a small hotel
with a wishing well

i wish that we were there together
there's a bridal suite
one room bright and neat
complete for us to
share together

looking through the window
you can see a distant steeple
not a sign of people who
wants people?
when the steeple bell says,
""good night, sleep well,""
we'll thank the small hotel
together

we'll creep into our little shell
and we will thank the small hotel together"
725,i just don't know what to do with myself,isaac hayes,Jazz,"i just don't know what to do with myself
don't know just what to do with myself
i'm so used to doing everything with you
planning everything for two
and now that we're through

i just don't know what to do with my time
i'm so lonesome for you it's a crime
going to a movie only makes me sad
parties make me feel as bad
when i'm not with you
i just don't know what to do
like a summer rose needs the sun and rain
i need your sweet love to ease all the pain

i don't know just what to do with myself
i don't know just what to do with myself
baby if your new love ever turns you down
come back i will be around
just waiting for you
i don't know what else to do
like a summer rose needs the sun and rain
i need your sweet love to ease all the pain

i don't know just what to do with myself
i don't know just what to do with myself
baby if your new love ever turns you down
come on back i will be around
just waiting for you
i don't know what else to do
no no no
i don't know what else to do
i'm just so crazy for you
no no no no
i don't know what else to do
i don't know whaaaat else to do"
726,trouble man,cassandre mckinley,Jazz,"i come up hard baby, but now i'm cool
i didn't make it sugar, playin' by the rules
i come up hard baby, but now i'm fine
i'm checkin' trouble sugar, movin' down the line
i come up hard baby, but that's okay
'cause trouble man, don't get in my way
i come up hard baby, i've been for real
gonna keep movin', gonna go to town
i come up hard baby, i'm gettin' down
there's only three things that for sure
taxes, death and trouble

this i know, baby
this i know, sugar
girl, i ain't gon' let it sweat me, baby
got me singin'
yeah , yeah, whoa
i come up hard, 
i've had to fight
take care of my business, 
with all my might
i come up hard, i had to win
then start all over, and win again
i come up hard, but that's okay
'cause trouble man
don't get in my way
i know some places and i've seen some faces
i've got good connections they dig in my directions
what people say that's okay
they don't bother me 

ready to make it, don't fool with no women
don't care 'bout no trouble got myself together
i feel a kind of protection is all around me
this i know baby
girl, i ain't gonna let it sweat me, baby
i come up hard, but now i'm cool
i didn't make it sugar, playin' by the rules
i come up hard baby, but now i'm fine
i'm checkin' trouble sugar
movin' down the line"
727,"merry christmas, baby",hank crawford,Jazz,"merry christmas, baby, you really did treat me nice
merry christmas, baby, you really did treat me nice
bought me a hi-fi for christmas, now i'm living in paradise
well, i'm feelin', mighty fine, i got good music on my radio
well, i feel so fine, i got good music on my radio
yes, i want to hug and kiss you baby
while you're standing beneath the mistletoe

santa came down the chimney, 'bout a half past three
left all these pretty presents that you see before me
merry christmas baby, you really been good to me. 

i will always love you baby
now i'm happy as i can be"
728,hard-hearted hannah,stacey kent,Jazz,"in old savannah, i said savannah,
the weather there is nice and warm!
the climates of a southern brand,
but here's what i don't understand,
they got a gal there, a pretty gal there,
who's colder than an arctic storm,
got a heart just like a stone,
even ice men leave her alone!

they call her hard hearted hannah,
the vamp of savannah,
the meanest gal in town,
leather is tough, but hannah's heart is tougher,
she's a gal who loves to see men suffer!
to tease 'em, and thrill 'em, to torture and kill 'em,
is her delight, they say,
i saw her at the seashore with a great big pan,
there was hannah pouring water on a drownding man!
she's hard hearted hannah, the vamp of savannah, ga!

they call her hard hearted hannah,
the vamp of savannah,
the meanest gal in town,
talk of your cold, refrigeratin' mamas,
brother, she's a polar bear's pajamas!
to tease 'em, and thrill 'em, to torture and kill 'em,
is her delight, they say,
an evening spent with hannah sittin' on your knees,
is like travelin' through alaska in your b-v-d's.
she's hard hearted hannah, the vamp of savannah, ga!

can you imagine a woman as cold as hannah
she's got the right name, the vamp of savannah
any time a woman can take a great big pan
and start pouring water on a drownin' man
she's hard hearted hannah
the vamp of savannah ga

oh she's sweet as sour milk"
729,why was i born,aretha franklin,Jazz,"spending these lonesome evenings
with nothing to do
but to live in dreams that i make up
all by myself

dreaming that you're beside me
i picture the prettiest stories
only to wake up
all by myself

what is the good of me by myself?

why was i born
why am i living
what do i get
what am i giving

why do i want a thing
i daren't hope for
what can i hope for
i wish i knew

why do i try
to draw you near me
why do i do i cry
you never hear me

i'm a poor fool
but what can i do
why was i born
to love you

i'm a poor fool
but what can i do
why was i born
to love you"
730,chattanooga choo choo,oscar peterson,Jazz,"pardon me boy, is that the chattanooga choo choo?
track twenty nine, boy you can gimme a shine
i can afford to board a chattanooga choo choo
i've got my fare and just a trifle to spare
 
you leave the pennsylvania station 'bout a quarter to four
read a magazine and then you're in baltimore
dinner in the diner, nothing could be finer
than to have your ham 'n' eggs in carolina
 
when you hear the whistle blowin' eight to the bar
then you know that tennessee is not very far
shovel all the coal in, gotta keep it rollin'
woo, woo, chattanooga, there you are
 
there's gonna be a certain party at the station
satin and lace, i used to call funny face
she's gonna cry until i tell her that i'll never roam"
731,it's you or no one,sheila jordan,Jazz,"how did i know that the warmth of the glow would last
and how did i guess that the long loneliness was past
i merely looked at you and i knew then and there i knew
it's you or no one for me

i'm sure of this every time we kiss
now and forever when forever is done
you'll find that you are still the one

so please don't say no to my plea
cause if you do then i'm all through
there's this about you
my world's an empty world without you
it's you or no one for me

it's a matter of now and forever
when forever is all done
you'll find you are still the one

so please don't say no to my plea
cause if you do then i'm all through
there's this about you
my world's an empty world without you
it's you or no one for me

it's you or no one for me
it's you or no one for me"
732,the-west-county,bela-fleck-the-flecktones,Jazz,"unknown
miscellaneous
railroad bill and the kitten
railroad bill and the kitten
source: bob pfeffer
source's source: andy breckman
text:
railroad bill was a hard livin' man
he used to take his women two at a time
everyone agreed he was the baddest engineer
that'd ever driven down the santa fe line
his name was known from the folks back home
to the tippy-top of telegraph hill
and all the little boys, when they were sneakin' cigarettes
they used to dream about the railroad bill
[spoken: stay with me here
one day bill was walkin' along
and he saw a kitten stuck in a tree
when he saw what was the matter he ran to get a ladder
to set that kitty-cat free
and bill said, ""no, ain't gonna do it
ain't gonna climb up no tree
this is a stupid, stupid song and no folksinger's
gonna make a fool outa me.""
i said, one day bill was walkin' along
and he saw a kitten stuck in a tree
when he saw what was the matter he ran to get a ladder
to set that kitty-cat free
and bill said, ""no, ain't gonna do it
ain't gonna do what you said
this is an asinine song. as far as i'm concerned
that cat can stay there till it's dead.""
i said, wait a minute, bill, you can't argue with me
for god's sake, i just made you up
i got the pen in my hand, i want you up in that tree
i want that cat unstuck
bill said, ""no, i hate cats
ain't gonna climb for no cat.""
he said, ""why don't you have me save some beautiful girl
whos's been tied down on the railroad track?""
i said maybe there'll be room in the eighth or ninth verse
but right now i want you up in that tree
i'm the writer, god damn, i got the pen in my hand
and you're supposed to listen to me
he said, ""you asshole. why should i listen to you
you should be listenin' to me instead.""
he said, ""i'm a railroad man and if i was real
i would separate your face from your head.""
you ungrateful brute, i cried, you push me too far
i gotta show you i can do as i please
so an earthquake came and it shook the whole terrain
and it brought railroad bill to his knees
and then a tidal wave broke and everything got soaked
and bill was almost completely washed away
and then a big green monster from the planet neptune
landed and bit railroad bill on the leg
i got the pen in my hand. i can do what i want
i'm a bright new young talent on the rise
so get your ass up that tree or i swear you ain't
gonna get outa my folksong alive
he said, ""you don't scare me.
you might be crazy but you don't scare me
and if you don't leave me alone i'm gonna tell everybody
where you stole this melody.""
but before he could speak his tongue fell out
and he could not make a sound
suddenly he jumped on top of me and he grabbed me by the neck
and he pulled me to the ground
and he hit me in the stomach, and he hit me in the face real hard
and i think he almost broke my nose
but just then a lightning bolt came outa nowhere, hit him right between the
[eyes
and killed him instantly
[heh, heh
well the cat came down from the tree
had a bowl of warm milk, went to sleep for the night
railroad bill is survived by a wife and three small children
dear god, i love to write
@outlaw @animal
filename[ rrbillkt
rpf
===document boundary==="
